Latitude,Longitude,Date,data_point
36.920,-8.619,19/09/1997 15:02,0.417153
30.8374,-80.7644,19/09/1997 15:02,0.417153
42.8441,-19.9591,20/09/1997 10:10,0.143311
42.8446,-19.9598,20/09/1997 10:19,0.143311
42.45,-19.9672,20/09/1997 14:05,0.147386
42.417,-19.961,20/09/1997 15:01,0.147386
42.0343,-19.9993,20/09/1997 17:00,0.107496
41.7245,-20.0016,20/09/1997 19:00,0.0986215
41.3224,-20.0069,20/09/1997 21:00,0.100156
32.912,-117.393,20/09/1997 22:11,0.222313
40.9291,-20.002,20/09/1997 23:00,0.0945241
37.1231,-19.8676,21/09/1997 21:00,0.0496163
36.8718,-19.8187,21/09/1997 23:01,0.0749741
35.0356,-19.1422,22/09/1997 14:35,0.0884653
32.9284,-79.2897,23/09/1997 15:51,1.68589
29.847,-123.585,23/09/1997 18:03,0.0969325
31.7826,-17.8372,25/09/1997 18:00,0.0664306
32.43,-119.962,25/09/1997 18:09,0.144476
32.43,-119.962,25/09/1997 19:45,0.144476
31.475,-18.2116,25/09/1997 20:00,0.0682769
31.1666,-18.606,25/09/1997 22:00,0.0671989
30.8372,-18.9853,26/09/1997 00:00,0.0650428
30.5009,-19.3523,26/09/1997 02:00,0.0726349
30.1564,-19.71,26/09/1997 04:00,0.072026
22.47,-158.13,26/09/1997 07:56,0.0697617
20.7928,-157.207,26/09/1997 13:07,0.109109
28.6364,-20.9943,26/09/1997 14:21,0.0731909
28.1127,-20.9965,26/09/1997 17:00,0.0962282
27.6849,-20.9861,26/09/1997 18:55,0.0546017
33.422,-117.91,26/09/1997 19:27,0.2482
27.1222,-20.9926,26/09/1997 21:00,0.103711
20.7928,-157.207,26/09/1997 23:07,0.109109
25.4952,-20.9987,27/09/1997 05:00,0.120443
25.0299,-20.9904,27/09/1997 07:00,0.0999082
24.5694,-20.9922,27/09/1997 09:00,0.127912
24.1392,-20.9995,27/09/1997 11:29,0.125827
23.234,-21.0042,27/09/1997 17:00,0.217521
33.325,-119.667,27/09/1997 18:51,0.603238
33.153,-120.01,27/09/1997 23:37,0.338889
21.2383,-20.8511,28/09/1997 03:00,0.240585
20.8254,-20.7646,28/09/1997 05:00,0.366595
31.992,-122.407,29/09/1997 01:07,0.162933
16.6999,-19.9994,29/09/1997 05:00,0.185843
8.8233,-21.7333,01/10/1997 01:00,0.171747
5.0392,-23.2611,01/10/1997 23:00,0.134089
34.332,-120.815,02/10/1997 18:04,0.481642
20.7368,-157.002,02/10/1997 18:39,0.104756
34.157,-121.157,02/10/1997 22:43,0.252671
0.5418,-25.106,03/10/1997 03:00,0.206605
-0.1632,-25.4073,03/10/1997 07:00,0.195165
-0.5136,-25.5595,03/10/1997 09:00,0.205219
-0.7727,-25.6632,03/10/1997 10:39,0.186279
-0.7726,-25.6631,03/10/1997 11:15,0.186279
33.493,-122.525,03/10/1997 17:40,0.169545
33.152,-123.225,04/10/1997 01:20,0.161331
-2.7867,-27.3682,04/10/1997 11:40,0.133257
20.8583,-156.747,04/10/1997 17:43,0.0927143
5.99,-124.93,05/10/1997 05:05,0.0701429
-7.9446,-28.6641,05/10/1997 06:00,0.135764
5.993,-124.938,05/10/1997 17:05,0.0701429
-10.8006,-29.8718,06/10/1997 00:00,0.0759294
-11.1604,-30.0405,06/10/1997 02:00,0.0856446
5.17,-124.832,06/10/1997 05:20,0.0671138
31.654,-64.126,07/10/1997 15:51,0.0733836
31.653,-64.116,07/10/1997 21:46,0.0733836
-19.3274,-33.4837,08/10/1997 04:00,0.0862902
42.95,35.6,08/10/1997 08:55,0.75352
-20.4182,-34.0616,08/10/1997 10:00,0.0765926
-21.0817,-34.556,08/10/1997 16:52,0.0728834
-21.8544,-35.2803,08/10/1997 22:00,0.104936
41.8125,-68.3922,09/10/1997 16:23,0.832577
-25.8142,-39.1074,10/10/1997 00:00,0.127507
-26.0654,-39.3668,10/10/1997 02:00,0.104546
-3.99,-124.82,10/10/1997 02:50,0.143751
-26.3987,-39.7221,10/10/1997 04:00,0.149391
-26.737,-40.0711,10/10/1997 06:00,0.167842
-3.991,-124.822,10/10/1997 14:50,0.143751
-30.614,-43.8666,11/10/1997 06:00,0.249062
39.29,25.11,11/10/1997 09:32,0.231438
42.588,-67.5148,11/10/1997 15:31,0.8931
59.69,-149.328,11/10/1997 20:20,1.12164
-32.25,-49.33,20/10/1997 18:21,0.181081
-32.25,-49.33,20/10/1997 18:57,0.181081
27.659,-111.228,20/10/1997 19:30,0.483423
-32.09,-49.67,20/10/1997 19:50,0.14083
-32.09,-49.67,20/10/1997 23:30,0.14083
17.6,-67,21/10/1997 12:50,0.120165
17.6,-67,21/10/1997 12:56,0.120165
27.844,-111.042,21/10/1997 22:37,0.424526
26.982,-110.97,24/10/1997 19:19,0.545442
34.16,-119.952,25/10/1997 11:40,0.438605
34.087,-120.029,25/10/1997 13:20,0.508206
34.344,-119.86,25/10/1997 17:12,0.226874
34.39,-119.84,25/10/1997 17:51,0.260091
34.39,-119.84,25/10/1997 18:44,0.260091
34.3,-119.887,25/10/1997 19:31,0.384439
34.3,-119.887,25/10/1997 20:09,0.384439
34.261,-119.901,25/10/1997 21:06,0.488002
34.261,-119.901,25/10/1997 21:32,0.488002
34.2035,-119.928,25/10/1997 23:07,0.442862
